PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
25.6158,7d2bca85d88e45783b07c093d08ade5c,AV-CORE4 ATLANTA,GA,DEKALB,False
32.941199999999995,5b0398cc93d4b1b3c00afedb31bdb81c,HEARD COUNTY COURTHOUSE,GA,HEARD,False
12.3077,fcee6952a274b441ca3ea2de6b8cfb25,ELECTIONS OFFICE,GA,THOMAS,False
83.844,6d9333ad3cb2c913b64e3db617b9251e,5 SOUTH CENTRAL-S. COBB REGIONAL LIBRARY,GA,COBB,True
58.0882,48518760d5b8ff6d341f14da836f0f79,ELECTIONS WAREHOUSE,GA,CHEROKEE,False
51.1628,22b3bc664575e487b431f244207f228e,HICKORY FLAT PUBLIC LIBRARY,GA,CHEROKEE,True
60.4613,c53243956f70d4a06cae755e00caef3e,6 EAST- EAST COBB GOVT SVC CENTER,GA,COBB,False
25.0,69d5bd42be521697c231da469d00aa1c,STEPHENS COUNTY GOVERNMENT BUILDING,GA,STEPHENS,False
57.5163,972f46a6f26481bc16f3b6bd4b60631c,ATHENS REGIONAL  LIBRARY,GA,CLARKE,False
12.5,8834ee77d48644e69d9f50931bbf1935,ELECTIONS & REGISTRATION OFFICE,GA,COFFEE,False
82.85709999999997,901a1b5f143c902b53a35fb160b19666,HOUSTON HEALTH PAVILION CONF CENTER,GA,HOUSTON,False
4.3477999999999986,34562f07143fd8de3df0c180dd2aed94,RABUN COUNTY BOARD OF ELECTION,GA,RABUN,False
38.6861,148f2a0df06f67eecd34e56edb2cd2b7,AA - SANDY SPRINGS BRANCH LIBRARY,GA,FULTON,False
21.519,fcb5da7bd9dc1eebacc647dec356efe0,GRIFFIN-SPALDING ATHLETIC HALL OF FAME,GA,SPALDING,False
31.7212,292fbba92ea63ae6d931c92cf34e02bd,9 ACWORTH- NORTH COBB SENIOR CENTER,GA,COBB,False
15.1515,ead0046fcca11388afdbbf7c917a740e,SAINT MARYS EARLY VOTING,GA,CAMDEN,True
11.3573,33b0629a2d2242523c8d6b9cbe601ffe,CAMDEN COUNTY ANNEX,GA,CAMDEN,False
44.9102,bdcdb85903ac928f7f90030db53af41b,SHARON SPRINGS PARK COMMUNITY BUILDING,GA,FORSYTH,False
77.4359,fe42e6fbbd2365da392d9b99c237384c,ISLANDS LIBRARY,GA,CHATHAM,False
23.0769,88d900b46c29ea06b8b040e03d6f394f,REGISTRAR'S OFFICE,GA,GLASCOCK,False
30.9429,63c1a3055ba581804c50e9e4ff0afde6,HAMPTON PARK LIBRARY,GA,FORSYTH,False
20.3125,9d0c7ecfb9044e532a874f5d24654d0f,ADMIN.BLDG CMM/ROOM,GA,DADE,False
33.2589,7a79ceacb3dbb4bcaa6866c25eeb3403,GREENE COUNTY ANNEX,GA,GREENE,False
18.8235,9111e79765e4d0bc57d60108e4149a37,WESTSIDE PRECINCT,GA,CATOOSA,False
40.1198,1bdc04f4ce095fea9a9618b02737552e,AA - EASTPOINT LIBRARY,GA,FULTON,False
17.647100000000005,72ce704d9fa147cc28327cdb2cdc3929,MUNDY MILL,GA,HALL,False
24.8996,2c4db02c1cef58334834e67064dd35a8,OLD CARNESVILLE PRIMARY SCHOOL,GA,FRANKLIN,False
24.0741,c5e952aafaea03e35deb6c1defb268c8,COURTHOUSE-GOVT CENTER,GA,RANDOLPH,False
40.9916,70f5ee61a286fdb899f362bef8aed1d1,COLUMBUS CONVENTION & TRADE CENTER,GA,MUSCOGEE,False
91.1504,5626893fe2f7cfef381ababa2c8606c3,BOARD OF ELECTIONS,GA,HOUSTON,False
7.6023,d5d8dd6f7b6e89b2cf5b8c76a1470219,DAWSON CO ELECT & REG OFFICE,GA,DAWSON,False
59.4178,2d1e30f540f3eef42abbea60ab2d745d,CITIZENS SERVICE CENTER,GA,MUSCOGEE,False
43.5897,66538edd6128893d2eb1192ebd845c73,REGISTRAR OFFICE,GA,CALHOUN,False
61.44890000000001,b4707d97138584f5945e36fd4c667720,A12 KENNESAW- BEN ROBERTSON COMMUNITY CENTER,GA,COBB,True
16.3435,b287551cf5feb087e9f3acd58e8b23a5,GOVERNMENT CENTER,GA,CRISP,False
73.54119999999998,9a1768f21dc7a96fe7f449aaad4ea655,MAIN OFFICE,GA,CHATHAM,False
33.3333,a1bac95ec8731a34557b90f7a9d636b8,TELFAIR CO REGISTRAR OFFICE,GA,TELFAIR,False
44.5161,dae231edb196886482054a85da12538c,ROSSVILLE MUNICIPAL CIVIC CENTER,GA,WALKER,False
71.33659999999998,9d4789f0aed3859c4a25c55b51655389,NEWTON COUNTY ADMIN BUILDING,GA,NEWTON,False
21.8182,3bb46d5fd6bbe80bda4b13228264d51f,VIENNA VOTING PRECINCT,GA,DOOLY,False
